Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.80873E-4,24.023879933,0.436355405,0.052547453,0,0
5.87517E-4,24.258274914,0.440039619,0.052147852,0,0
6.00258E-4,24.556315838,0.447037133,0.051648352,0,0
6.10307E-4,24.79821167,0.452494509,0.051248751,0,0
6.20551E-4,25.044687235,0.458002476,0.050849151,0,0
6.27327E-4,25.294846617,0.461615258,0.05044955,0,0
6.31052E-4,25.547044593,0.463590894,0.05004995,0,0
6.37102E-4,25.800834951,0.466784688,0.04965035,0,0
6.43479E-4,26.057145114,0.470130157,0.049250749,0,0
6.47923E-4,26.25113481,0.472449137,0.048951049,0,0
6.55591E-4,26.512937164,0.476427292,0.048551449,0,0
6.61669E-4,26.776270366,0.479558567,0.048151848,0,0
6.70875E-4,27.042849018,0.484266384,0.047752248,0,0
6.73254E-4,27.311893925,0.485475764,0.047352647,0,0
6.79141E-4,27.515252089,0.488456805,0.047052947,0,0
6.86477E-4,27.788619813,0.492147226,0.046653347,0,0
6.91748E-4,28.064476836,0.494782489,0.046253746,0,0
6.97992E-4,28.273036124,0.497886416,0.045954046,0,0
7.03612E-4,28.553259655,0.500664197,0.045554446,0,0
7.05732E-4,28.764576308,0.501708061,0.045254745,0,0
7.12678E-4,29.048335282,0.505112537,0.044855145,0,0
7.18496E-4,29.263208223,0.507946056,0.044555445,0,0
7.25594E-4,29.552240859,0.511381537,0.044155844,0,0
7.3909E-4,29.772967365,0.517847167,0.043856144,0,0
7.44003E-4,30.069756722,0.52017943,0.043456543,0,0
7.48217E-4,30.293544149,0.52217112,0.043156843,0,0
7.55249E-4,30.519091162,0.525476135,0.042857143,0,0
7.57546E-4,30.821695164,0.526550722,0.042457542,0,0
7.6014E-4,31.049516423,0.527761349,0.042157842,0,0
7.66293E-4,31.2784243,0.530620568,0.041858142,0,0
7.70322E-4,31.509333429,0.532483495,0.041558442,0,0
7.78859E-4,31.818897127,0.536406117,0.041158841,0,0
7.84364E-4,32.053608589,0.538918363,0.040859141,0,0
7.87136E-4,32.28939666,0.540178225,0.040559441,0,0
7.94911E-4,32.527290821,0.543693022,0.04025974,0,0
7.9672E-4,32.766060768,0.544507056,0.03996004,0,0
8.01768E-4,33.006231325,0.546771236,0.03966034,0,0
8.18446E-4,33.251322803,0.554170892,0.039360639,0,0
8.26844E-4,33.581177635,0.557850918,0.038961039,0,0
8.3485E-4,33.83043266,0.561331073,0.038661339,0,0
8.42237E-4,34.082285161,0.564517959,0.038361638,0,0
8.45287E-4,34.251126636,0.565826692,0.038161838,0,0
8.46636E-4,34.505048863,0.56640454,0.037862138,0,0
8.62007E-4,34.762562924,0.572933149,0.037562438,0,0
8.64423E-4,35.02156681,0.573950175,0.037262737,0,0
8.74228E-4,35.282960303,0.578053503,0.036963037,0,0
8.80515E-4,35.546383407,0.580663734,0.036663337,0,0
8.81999E-4,35.810832209,0.581277532,0.036363636,0,0
8.90888E-4,36.077366377,0.58493529,0.036063936,0,0
8.99417E-4,36.256451796,0.588414558,0.035864136,0,0
9.04486E-4,36.527374697,0.590468777,0.035564436,0,0
9.14174E-4,36.801164851,0.594366223,0.035264735,0,0
9.19331E-4,37.076168329,0.596425781,0.034965035,0,0
9.22937E-4,37.260489813,0.597859611,0.034765235,0,0
9.30431E-4,37.538830192,0.600822972,0.034465534,0,0
9.38118E-4,37.819436457,0.603840382,0.034165834,0,0
9.4348E-4,38.008053318,0.605931445,0.033966034,0,0
9.48969E-4,38.291869924,0.608060366,0.033666334,0,0
9.55886E-4,38.577931601,0.61072708,0.033366633,0,0
9.5747E-4,38.769394668,0.611335425,0.033166833,0,0
9.71592E-4,39.058470349,0.616715297,0.032867133,0,0
9.74634E-4,39.253304922,0.61786438,0.032667333,0,0
9.88499E-4,39.548595533,0.623058182,0.032367632,0,0
9.97087E-4,39.846961699,0.626239665,0.032067932,0,0
1.00922E-3,40.048334391,0.63068897,0.031868132,0,0
1.02455E-3,40.252445523,0.636233788,0.031668332,0,0
1.03738E-3,40.561671734,0.640811021,0.031368631,0,0
1.04503E-3,40.769938342,0.643513001,0.031168831,0,0
1.05767E-3,41.085507062,0.647934561,0.030869131,0,0
1.06054E-3,41.297398416,0.648931686,0.030669331,0,0
1.07198E-3,41.510970514,0.652871323,0.03046953,0,0
1.08497E-3,41.835472043,0.657292919,0.03016983,0,0
1.09212E-3,42.053791289,0.659703936,0.02997003,0,0
1.09294E-3,42.272301652,0.659980703,0.02977023,0,0
1.10069E-3,42.601970391,0.662571766,0.029470529,0,0
1.11404E-3,42.824620129,0.666988714,0.029270729,0,0
1.11784E-3,43.048010723,0.668232651,0.029070929,0,0
1.12382E-3,43.272397503,0.670185403,0.028871129,0,0
1.13945E-3,43.61384286,0.675235127,0.028571429,0,0
1.14326E-3,43.842405669,0.676453652,0.028371628,0,0
1.148E-3,44.071749041,0.677965572,0.028171828,0,0
1.14856E-3,44.301426245,0.678143921,0.027972028,0,0
1.15144E-3,44.53152768,0.679056578,0.027772228,0,0
1.16414E-3,44.763922713,0.683055108,0.027572428,0,0
1.16717E-3,45.113763752,0.684002118,0.027272727,0,0
1.16831E-3,45.347317426,0.684356717,0.027072927,0,0
1.17488E-3,45.582274477,0.686396703,0.026873127,0,0
1.18057E-3,45.818204112,0.688153116,0.026673327,0,0
1.18624E-3,46.055245643,0.68989369,0.026473526,0,0
1.18709E-3,46.292638793,0.69015169,0.026273726,0,0
1.18815E-3,46.530219098,0.690476315,0.026073926,0,0
1.18925E-3,46.768004994,0.690813525,0.025874126,0,0
1.19359E-3,47.006618444,0.692134708,0.025674326,0,0
1.19806E-3,47.365830825,0.693490818,0.025374625,0,0
1.20917E-3,47.607476115,0.696832718,0.025174825,0,0
1.21862E-3,47.850381232,0.699646553,0.024975025,0,0
1.22081E-3,48.094505143,0.70029544,0.024775225,0,0
1.22968E-3,48.34021679,0.702909415,0.024575425,0,0
1.2371E-3,48.586950427,0.705076673,0.024375624,0,0
1.23979E-3,48.834728805,0.705856742,0.024175824,0,0
1.25719E-3,49.085117213,0.71086708,0.023976024,0,0
1.26968E-3,49.338265164,0.714409197,0.023776224,0,0
1.27437E-3,49.592762679,0.71572692,0.023576424,0,0
